,id,tweet_text,count
0,0,MAKE AMERICA GREAT AGAIN!,39
1,1,PRESIDENTIAL HARASSMENT!,10
2,2,LAW & ORDER!,7
3,3,KEEP AMERICA GREAT!,7
4,4,95% Approval Rating in the Republican Party. Thank you!,6
5,5,"For all of those who have been asking about online sales, the Donald J. Trump Signature Collection ties & shirts are sold @ Macys.com",5
6,6,WITCH HUNT!,5
7,7,"Entrepreneurs: Look at the solution, not the problem. Learn to focus on what will give results.",5
8,8,I will be having a White House Press Conference today at 5:30 P.M. Thank you!,4
9,9,"....He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany!https://secure.winred.com/tiffany-for-wisconsin/donate …",4
